"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T17:37:54.441Z","277ACAC128203005","0","118","01BA","1136718","2","2","1137177","0e","138","8a1677912df5cc0e00115a190011584e01ba760200115858481f1a020011585801ba160100115858932876020011586101ba1a020011586a01ba9302ffffff","2021-04-05T17:47:51.441Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:38:04.441Z","277ACAC128203005","0","118","9328","1136728","2","2","1137177","0e","138","8a1677912df5cc0e00115a190011584e01ba760200115858481f1a020011585801ba160100115858932876020011586101ba1a020011586a01ba9302ffffff","2021-04-05T17:47:51.441Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:38:13.441Z","277ACAC128203005","0","26","01BA","1136737","2","2","1137177","0e","138","8a1677912df5cc0e00115a190011584e01ba760200115858481f1a020011585801ba160100115858932876020011586101ba1a020011586a01ba9302ffffff","2021-04-05T17:47:51.441Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:38:22.441Z","277ACAC128203005","0","147","01BA","1136746","2","2","1137177","0e","138","8a1677912df5cc0e00115a190011584e01ba760200115858481f1a020011585801ba160100115858932876020011586101ba1a020011586a01ba9302ffffff","2021-04-05T17:47:51.441Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:38:30.120Z","277ACAC128203005","0","147","481F","1136746","2","1","1137236","0e","67","431677912df5cc0e00115a540011586a932893020011586a481f93020011587401ba1601001158749328760200115874481f33020011587d01ba1a02ffffff","2021-04-05T17:47:47.120Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:38:40.120Z","277ACAC128203005","0","51","481F","1136756","2","1","1137236","0e","67","431677912df5cc0e00115a540011586a932893020011586a481f93020011587401ba1601001158749328760200115874481f33020011587d01ba1a02ffffff","2021-04-05T17:47:47.120Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:38:49.120Z","277ACAC128203005","0","26","01BA","1136765","2","1","1137236","0e","67","431677912df5cc0e00115a540011586a932893020011586a481f93020011587401ba1601001158749328760200115874481f33020011587d01ba1a02ffffff","2021-04-05T17:47:47.120Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:38:49.675Z","277ACAC128203005","0","147","9328","1136774","2","0","1137296","0e","3","031677912df5cc0e00115a9000115886481f93020011588601ba5b0200115886932893020011589001ba160100115890481f33020011589093283302ffffff","2021-04-05T17:47:34.675Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:38:59.675Z","277ACAC128203005","0","51","9328","1136784","2","0","1137296","0e","3","031677912df5cc0e00115a9000115886481f93020011588601ba5b0200115886932893020011589001ba160100115890481f33020011589093283302ffffff","2021-04-05T17:47:34.675Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:39:13.379Z","277ACAC128203005","0","147","481F","1136793","2","22","1137356","0e","48","301677912df5cc0e00115acc0011589901ba1a0200115899481f9302001158a201ba9302001158a2481f9302001158a293289302001158ac481f3302ffffff","2021-04-05T17:49:24.379Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:39:22.379Z","277ACAC128203005","0","147","9328","1136802","2","22","1137356","0e","48","301677912df5cc0e00115acc0011589901ba1a0200115899481f9302001158a201ba9302001158a2481f9302001158a293289302001158ac481f3302ffffff","2021-04-05T17:49:24.379Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:39:27.632Z","277ACAC128203005","0","22","01BA","1136812","1","21","1137357","0e","43","2b1677912df5cc0e00115acd001158ac93283302001158ac01ba1601001158b501ba3302001158b5481f7602001158b593289302001158be481f9302ffffff","2021-04-05T17:49:15.632Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:39:32.379Z","277ACAC128203005","0","51","481F","1136812","2","22","1137356","0e","48","301677912df5cc0e00115acc0011589901ba1a0200115899481f9302001158a201ba9302001158a2481f9302001158a293289302001158ac481f3302ffffff","2021-04-05T17:49:24.379Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:39:36.632Z","277ACAC128203005","0","147","9328","1136821","2","21","1137357","0e","43","2b1677912df5cc0e00115acd001158ac93283302001158ac01ba1601001158b501ba3302001158b5481f7602001158b593289302001158be481f9302ffffff","2021-04-05T17:49:15.632Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:39:45.580Z","277ACAC128203005","0","147","9328","1136830","2","11","1137357","0e","0","001677912df5cc0e00115acd001158be01ba7602001158be93289302001158c801ba1601001158c893285b02001158d1481f9302001158d101ba1a02ffffff","2021-04-05T17:48:32.580Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:39:45.632Z","277ACAC128203005","0","147","481F","1136830","2","21","1137357","0e","43","2b1677912df5cc0e00115acd001158ac93283302001158ac01ba1601001158b501ba3302001158b5481f7602001158b593289302001158be481f9302ffffff","2021-04-05T17:49:15.632Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:39:55.580Z","277ACAC128203005","0","91","9328","1136840","2","11","1137357","0e","0","001677912df5cc0e00115acd001158be01ba7602001158be93289302001158c801ba1601001158c893285b02001158d1481f9302001158d101ba1a02ffffff","2021-04-05T17:48:32.580Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:40:04.580Z","277ACAC128203005","0","26","01BA","1136849","2","11","1137357","0e","0","001677912df5cc0e00115acd001158be01ba7602001158be93289302001158c801ba1601001158c893285b02001158d1481f9302001158d101ba1a02ffffff","2021-04-05T17:48:32.580Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:40:13.180Z","277ACAC128203005","0","147","9328","1136858","2","20","1137358","0e","38","261677912df5cc0e00115ace001158da01ba9302001158da93289302001158e493283302001158e401ba1601001158ed481f9302001158ed93289302ffffff","2021-04-05T17:49:11.180Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:40:23.180Z","277ACAC128203005","0","22","01BA","1136868","1","20","1137358","0e","38","261677912df5cc0e00115ace001158da01ba9302001158da93289302001158e493283302001158e401ba1601001158ed481f9302001158ed93289302ffffff","2021-04-05T17:49:11.180Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:40:32.180Z","277ACAC128203005","0","147","9328","1136877","2","20","1137358","0e","38","261677912df5cc0e00115ace001158da01ba9302001158da93289302001158e493283302001158e401ba1601001158ed481f9302001158ed93289302ffffff","2021-04-05T17:49:11.180Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:40:32.721Z","277ACAC128203005","0","26","01BA","1136877","2","19","1137358","0e","33","211677912df5cc0e00115ace001158ed01ba1a02001158f701ba9302001158f7481f9302001158f79328930200115900481f76020011590001ba1601ffffff","2021-04-05T17:49:06.721Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:40:42.721Z","277ACAC128203005","0","147","9328","1136887","2","19","1137358","0e","33","211677912df5cc0e00115ace001158ed01ba1a02001158f701ba9302001158f7481f9302001158f79328930200115900481f76020011590001ba1601ffffff","2021-04-05T17:49:06.721Z","HELIUM","14"
